Experiment,SRAStudy
SRX096343,SRP008120
SRX096343,SRP008120
SRX096344,SRP008120
SRX096344,SRP008120
SRX096344,SRP008120
SRX096345,SRP008120
SRX096345,SRP008120
SRX096345,SRP008120
SRX097067,SRP008214
SRX097068,SRP008214
SRX097069,SRP008214
SRX097070,SRP008214
SRX097071,SRP008214
SRX097072,SRP008214
SRX097073,SRP008214
SRX097074,SRP008214
SRX097075,SRP008214
SRX097085,SRP008215
SRX097086,SRP008215
SRX097087,SRP008215
SRX097088,SRP008215
SRX097089,SRP008215
SRX097090,SRP008215
SRX097091,SRP008215
SRX097095,SRP008215
SRX097096,SRP008215
SRX097097,SRP008215
SRX097098,SRP008215
SRX097580,SRP008254
SRX097581,SRP008254
SRX097105,SRP008215
SRX097106,SRP008215
SRX097108,SRP008215
SRX097109,SRP008215
SRX097110,SRP008215
SRX096346,SRP008120
SRX096346,SRP008120
SRX096346,SRP008120
SRX096347,SRP008120
SRX096347,SRP008120
SRX096347,SRP008120
SRX096347,SRP008120
SRX096348,SRP008120
SRX096348,SRP008120
SRX096348,SRP008120
SRX096348,SRP008120
SRX096349,SRP008120
SRX096349,SRP008120
SRX096350,SRP008120
SRX096350,SRP008120
SRX096351,SRP008120
SRX096351,SRP008120
SRX096352,SRP008120
SRX096352,SRP008120
SRX096353,SRP008120
SRX096353,SRP008120
SRX096354,SRP008120
SRX096354,SRP008120
SRX099053,SRP008483
SRX099055,SRP008483
SRX099182,SRP008502
SRX099183,SRP008502
SRX099404,SRP008554
SRX099405,SRP008554
SRX099406,SRP008554
SRX099230,SRP008518
SRX099231,SRP008518
SRX099628,SRP008658
SRX099629,SRP008658
SRX099863,SRP008801
SRX099864,SRP008801
SRX099865,SRP008801
SRX099866,SRP008801
SRX099870,SRP008801
SRX099871,SRP008801
SRX099872,SRP008801
SRX099873,SRP008801
SRX099875,SRP008801
SRX099876,SRP008801
SRX099877,SRP008801
SRX099878,SRP008801
SRX099882,SRP008801
SRX100320,SRP008214
SRX100321,SRP008214
SRX100258,SRP008778
SRX100259,SRP008778
SRX100259,SRP008778
SRX100261,SRP008778
SRX100262,SRP008778
SRX100263,SRP008778
SRX100264,SRP008778
SRX100265,SRP008778
SRX100266,SRP008778
SRX100272,SRP008778
SRX100273,SRP008778
SRX100274,SRP008778
SRX100378,SRP008797
SRX100378,SRP008797
SRX100379,SRP008797
SRX100379,SRP008797
SRX100380,SRP008797
SRX100380,SRP008797
SRX100381,SRP008797
SRX100381,SRP008797
SRX100382,SRP008797
SRX100382,SRP008797
SRX100383,SRP008797
SRX100383,SRP008797
SRX100385,SRP008797
SRX100385,SRP008797
SRX100386,SRP008797
SRX100386,SRP008797
SRX100387,SRP008797
SRX100387,SRP008797
SRX100388,SRP008797
SRX100388,SRP008797
SRX100389,SRP008797
SRX100389,SRP008797
SRX100390,SRP008797
SRX100390,SRP008797
SRX100392,SRP008797
SRX100392,SRP008797
SRX100393,SRP008797
SRX100393,SRP008797
SRX100394,SRP008797
SRX100394,SRP008797
SRX100395,SRP008797
SRX100395,SRP008797
SRX100398,SRP008797
SRX100399,SRP008797
SRX100399,SRP008797
SRX100401,SRP008797
SRX100401,SRP008797
SRX100402,SRP008797
SRX100402,SRP008797
SRX100403,SRP008797
SRX100403,SRP008797
